,src,trg
0,a recipe for forgiveness via,iresiphi yoxolelo nge
1,_keelang i never once pedophilia u said it was morally reprehensible regardless of culture and i just pointed out that that true,_keaelang andikaze ndenzeke i-pedophilia ubusithi yayiyinto yokuziphatha ngokungapheliyo ngaphandle kwenkcubeko kwaye nditsho nje ukuba yinyani
2,a lot of people are being hyperbolic when they talk about stuff but that is not really how this works woman is a social concept and unique from culture to culture it is not an idea we are born with we have to learn them people learn the,uninzi lwabantu lube lolwalamano oluninzi xa bethetha ngezinto kodwa le ayisiyiyo indlela lo mfazi uyimbono yentlalontle kwaye iyodwa kwinkcubeko ayisiyonto yokuzifunda
3,the most painting ever by the u s government democracy at its most realistic,olona hlobo lokupeyinta okukhethekileyo yintando yesininzi
4,it s indicative of what s wrong with youth sport culture in this country are trying to sell themselves to a coach school at the off chance they would play scholarship rather than enjoy the game and be it s based on pressure from and society,ibonisa ukuba yintoni ingxaki yezemidlalo yolutsha kweli lizwe izama ukuzithengisa kwisikolo somqeqeshi kwithuba lokuya kudlala umdlalo kwaye sisekwe kuxinzelelo oluvela kuluntu
5,check out jess piper is video hysteria was and so is the coming culture war against the community especially against,jonga i-piper piger yividiyo ye-hysteria yayiyi-hysteria kwaye yimfazwe yenkokeli ezayo ngokuchasene noluntu ngokukodwa
6,it is not my culture i do not eat or and i made a clear argument and all you have is a straw man and deflection me on the other hand happy to point you to some rational insight on a topic you know nothing about,ayisiyo inkcubeko yam andidli okanye ndenze ingxoxo ecacileyo kwaye yonke into onayo yindoda kunye nendoda endikuyohlela kwelinye icala lonwabile ukukhomba malunga nengqondo owazi ngayo
7,barcelona need to be and like mad and forced to reset entire club and culture around it is grim give them the treatment and let them rebuild,i-barcelona kufuneka ibe kwaye idla ngokuhlanya kwaye inyanzelwe ukuseta kwakhona iklabhu yonke kunye nenkcubeko ejikeleze i-grim ibanike imbambano
8,_bastiat why do you people always default to fear it is not fear it is disgust have done nothing to improve our culture or our society acceptance of them only the family and ended any sense of public morality,_bastittiat kutheni abantu bahlala benganguye owoyikayo ayoyiki ukuba akukho nto yenziwayo yokuphucula inkcubeko yethu okanye ishishini lethu kuphela losapho kuphela kwaye liphelile indlela yokuziphatha kwesimilo soluntu
9,are a bunch of going well you re in respect their culture as if it t one of the on earth,ngaba iqela lokuhamba kakuhle uyayihlonipha inkcubeko yabo ngokungathi inye yelizwe
