,src,trg
0,lee for battle in first trailer,lee eka nyimpi eka trailer yo sungula .
1,i m here for moral and social entertainment,i m laha eka vuhungasi bya mahanyelo na bya ntshamisano .
2,i love all the food and drink and quality so much entertainment from your series music i am not sure if i would get this as the median worker but i like the flexibility of knowledge work in,ndzi tsakela swakudya hinkwaswo na swakunwa na khwalithi ya vuhungasi byo tala ku suka eka vuyimbeleri bya wena bya series a ndzi tiyiseki loko ndzi ta kuma leswi tanihi mutirhi wa le xikarhi kambe ndzi tsakela ku cinca-cinca ka ntirho wa vutivi eka .
3,anyone who actually value to my life be it alpha entertainment or experience,un'wana na un'wana loyi entiyisweni a tekaka a ri wa nkoka evuton'wini bya mina ku nga va alpha entertainment kumbe experience .
4,you can not deny jake the entertainment,a wu nge kaneti jake vuhungasi .
5,the are disgusting but people consuming this type of entertainment are so wrong yes are cute but you do not know these they have not you looking at them a breakdown or helping in the house doing something silly stop consuming it get help,the are disgusting but vanhu lava dyaka muxaka lowu wa vuhungasi va hoxile so wrona are cute but a wu swi tivi leswi a va na swona u va langutile breakdown kumbe ku pfuna endlwini va endla something silly stop consuming it get help
6,come support you favorite artist this year it is different and power in collaboration with entertainment with artist is so come let is make history big this year to the world wide,come support you favourite artist this year yi hambanile na matimba hi ku tirhisana na entertainment na artist is so come let is make history big this year to the world wide
7,ist always first variety that is to attract a new group of price conscious and turn around its sliding membership with a new ad streaming,ist always first variety that is to attract a new group of price conscious and turn around its sliding membership with a new ad streaming .
8,news update there are not but depp is being born in the lab at this moment according to his entertainment lawyer,news update akuna kambe depp u velekiwa e lab hi nkarhi lowu kuya hi gqweta ra yena ra vuhungasi
9,i wore a blue shirt to mart and they let me walk into the then found the room where make they fight for sport and entertainment,ndzi ambale hembe ya wasi eka mart va ndzi pfumelela ku nghena eka then found the room where make they fight for sport and entertainment .
10,_d_cloud exactly people should stop and just watch it for entertainment and move on,_d_cloud kahle kahle vanhu va fanele ku yima va yi hlalela ntsena ku tihungasa va ya emahlweni .
11,this is really depressing when i learn that a bunch of the latest i play not only do not work but are not working because some hacker group to hold them as ransom how do these heartless people live with themselves stealing others' happiness and entertainment,leswi swi tshikilela hakunene loko ndzi dyondza leswaku ntlawa wa sweswinyana lowu ndzi wu tlangaka a wu tirhi ntsena kambe a wu tirhi hikuva ntlawa wun’wana wa vahlaseri wu va khoma tanihi nkutsulo xana vanhu lava lava nga riki na mbilu va hanya njhani na vona va yiva ntsako ni vuhungasi bya van’wana .
12,hold on verse you know you can call me if you need someone i will pick up the if you come undone,khoma hi ndzimana ya swi tiva leswaku u nga ndzi fonela loko u lava munhu ndzi ta teka loko u ta undone .
13,welcome to your special seat to this theater of twisted entertainment,mi amukeriwile eka xitulu xa n'wina xo hlawuleka eka theatre leyi ya twisted entertainment .
14,the world s biggest race driver list here we come,nxaxamelo wa vachayeri lavakulu va mphikizano wa misava laha hi ta .
15,we do not need quote we need to live in an advanced country based on quality of service in work education industry searching and entertainment that is our as a human مقاطعه_شركه_وي,a hi lavi ku tshahiwa hi fanele ku tshama etikweni ra le henhla hi ku ya hi khwalithi ya vukorhokeri entirhweni ku lavisisa ka indasitiri ya dyondzo na vuhungasi lebyi nga bya hina tanihi munhu مقاطعه_شركه_وي
16,was the sports show you ever hit the television screen spike was top tier entertainment,a ku ri nongonoko wa mintlangu lowu u tshameke u wu ba xikirini xa thelevhixini lexi spike a xi ri xa le henhla xa vuhungasi bya xiyimo xa le henhla .
17,ist always first is currently busy shooting for the upcoming film  ishehzada' and while the actor been keeping his about the shoot he also giving a,ist always first is currently busy shooting for the upcoming film ishehzada' naswona loko mutlangi a ri karhi a hlayisa ku duvula ka yena u tlhela a nyika a .
18,limp and tour due to durst s unexpected health via,limp na tour hikwalaho ka rihanyo leri nga languteriwangiki ra durst s via .
