,src,trg
0,a recipe for forgiveness via,risepe ea tšoarelo ka
1,_keelang i never once pedophilia u said it was morally reprehensible regardless of culture and i just pointed out that that true,п
2,a lot of people are being hyperbolic when they talk about stuff but that is not really how this works woman is a social concept and unique from culture to culture it is not an idea we are born with we have to learn them people learn the,batho ba bangata ba ntse ba sa hlonamole ha ba bua ka lintho empa seo ha se 'nete hore mosali enoa ea sebetsang ke' nete oa setso le rona re lokela ho ithuta tsona
3,the most painting ever by the u s government democracy at its most realistic,ho penta e ka ho fetisisa ke demokrasi ea 'muso e ka sehloohong
4,it s indicative of what s wrong with youth sport culture in this country are trying to sell themselves to a coach school at the off chance they would play scholarship rather than enjoy the game and be it s based on pressure from and society,ho supa hore na ke eng e fosahetseng ka moetlo oa bacha naheng ena o leka ho ithekisetsa sekolong se haufi le ho ba le khatello ea sechaba
5,check out jess piper is video hysteria was and so is the coming culture war against the community especially against,sheba piper ea pars ke video hysteria e ne e le 'me ho joalo le ka ntoa ea setso e tlisoa khahlanong le sechaba ka ho khetheha khahlanong le sechaba.
6,it is not my culture i do not eat or and i made a clear argument and all you have is a straw man and deflection me on the other hand happy to point you to some rational insight on a topic you know nothing about,ha se moetlo oa ka ha ke jeng khang kapa 'me ke ile ka etsa qeto e hlakileng le hore o na le maikutlo a hlakileng
7,barcelona need to be and like mad and forced to reset entire club and culture around it is grim give them the treatment and let them rebuild,barcelona o hloka ho ba le ho hlanya mme a qobelloa ho seta sehlopha le setso se potolohileng hore se ba fe pheko
8,_bastiat why do you people always default to fear it is not fear it is disgust have done nothing to improve our culture or our society acceptance of them only the family and ended any sense of public morality,_bastiat hobaneng ha le lula le tšabela hore ho se tšabe ke letho le entseng hore re ntlafatse moetlo oa rona kapa sechaba sa rona se amohelehang melaong ea sechaba
9,are a bunch of going well you re in respect their culture as if it t one of the on earth,ke sehlopha sa ho tsamaea hantle u ka hlompha setso sa bona joalokaha eka ke e mong oa lefatše
10,literacy culture,tloaelo ea ho bala
11,all we is big people i do not think we should have to explain to you why you can not just go around calling people culture disgusting now everybody laughing at yuh belly,sohle seo re se ratang haholo ha ke nahana hore re lokela ho u hlalosetsa hore na ke hobane'ng ha u sa khone ho bua ka batho bohle ba tšehang yuh belly
12,they are they don t have the same culture why are you so mad,ke bona ha ba na katleho e tšoanang le hore na u hlanya haholo
13,it is crazy that this is 'counter culture' for straight edge,hoa hlanya hore ena ke 'setso sa setso se otlolohileng
14,_muppetries _mamadeb _seeadler _drcjm_ _man_dan _empyreangoals _o_brien _wendy but you keep making the argument that men are somehow supposed to solve all that a culture figure out how to make a perfect world for a baby and endlessly strive for a unicorn like system otherwise a woman should be able to kill her child false dichotomy,"_muppeties _mamadeb _ _seedeller _drcjm_ _manrien _endyre "" ho bolaea ngoana oa hae oa leshano"
15,the topic of mental health in general is something that my culture community does not really talk about there is lots of stigma misinformation ignorance it is thanks to the i have gotten to know here that i am starting to inquire about the topic regarding myself,sehlooho sa bophelo bo botle ba kelello ka kakaretso ke ntho eo baetsi ba ka ba e hlokang tsebong e le ntho e sa tsebeng ho tseba hantle mona ke qala ho botsa ka sehlooho se mabapi le nna
16,_malek very unsettling that this guy is one of the premier hustle culture finance doing unspeakable brain damage to a generation of impressionable young men,_malak
17,the culture dont exist out in the real world,moetlo o se o le teng lefatšeng la 'nete
18,political culture always been autocratic despotic it always sought to subjugate oppress the of social ethnic,moetlo oa lipolotiki o lula e le oa bohlokoa ka ho fetesisa oo o neng o lula o timela o hatelle ho hatelloa ke morabe oa boithabiso
19,glad to see you are a man of culture,ke thabela ho bona u monna oa setso
20,and someone for being queer is not anywhere regardless of culture or religion or,le motho ea ho ba botsoa ha a na palo kapa kae ho sa tsotelleng setso kapa bolumeli kapa
21,yeah you have to understand that china billion people we are not a small country or a small culture if you continued to do thing like this it will drag you reputation down think about it before you release any original shameful,ee u tlameha ho utloisisa hore batho ba limilione tse likete ha re naha e nyane kapa setso se senyenyane haeba u ka hlabisa lihlong pele u lokolla ho hlabisa lihlong
22,i am with you on this really awful title the poem also maybe a bit off the mark but mostly does criticize white south culture and does point out rightly that crime precipitously since the end of apartheid,ke na le uena ka sehlooho sena se sa tsotelleng se sa tsotelleng le ka ho senyeha ha letšoao empa haholo se etsa hore botlokotse bo bosoeu bo tlohele botlokotsebe ho tloha pheletsong ea khethollo ho tloha pheletsong ea karohano
23,the sign of the is a sophistication and instinctive culture while your village to the ground,letšoao la ho etsa seriti le setso sa tlhaho ha motse oa hau o ntse o le teng
24,no hate but i hope culture you look dumb as hell,ha ho na lehloeo empa ke tšepa hore setso seo u se batlang joaloka lihele
25,to be a part of the culture to the moon,ho ba karolo ea moetlo ho ea khoeling
26,a new casting call is looking for people to appear in newsroom,mohala o mocha oa ho lahla o batla hore batho ba hlahe ho tse ling
27,_panther _katy and i m from north miss being near the coast hope you enjoy your,_panther _kay
28,get well soon sending love,fumana hantle kapele ho romela lerato
29,_vision the culture not being a natural space for growth because it t allow the real union of male and female and when it s based on that then there s a lack of understanding so i m saying it to the whole men t or the of,_visition setso ha se sebaka sa tlhaho sa kholo hobane e se e letse mokhatlo oa sebele oa monna le mosali le ha ho ipapisitse le banna bohle t kapa
30,hey clown is this album supposed to be about toxic culture in social media,hello clown na albamo ena e lokela ho ba ka setso sa media ho mecha ea litaba ea sechaba
31,_payne _ _jerkins fellow man of culture,_payne _ _jerkins may of setso
32,i agree it t respectful to refer to a language that is a part of people s identify as a hobby language and i am sorry to see some who rightly demand respect for our own culture showing disrespect to in this manner,"ke lumela hore ho hlompha puo eo e leng karolo ea batho ba emeng e le puo ea boitšoaro ba ho ipolaea, 'me ke masoabi ho bona ba bang ba hlomphang ka mokhoa o hlomphollang ka tsela ena"
33,no i m not talking bout his rapping ability i m talking about the way he the culture to this better type no other rapper on this list done something like that in the past,"che, ha ke bue ka bokhoni ba hae ba ho pheta ka tsela eo moetlo o fumanehang ho eona ha ho na rapper e 'ngoe ho lethathamo la seo nakong e fetileng"
34,no hookup culture is useless and a waste of time as in my essay,ha ho moetlo oa ho fumaneha ha o na thuso ebile o senya nako joalo ka ha ho buuoe
35,_mugabi when the economy is bad people sell off some of the assets even the only asset they have for survival it part of the national culture,_mugabi ha moruo o mobe o rekisa matlotlo a mang le letlotlo feela ba nang le ho pholoha hore e be karolo ea setso sa naha
36,the best food a huge and beautiful plenty to see and do every culture you can imagine now,lijo tse ntle ka ho fetisisa le tse ntle tse monate le tse ntle tseo u ka li bonang le ho etsa setso se seng le se seng seo u se nahanang hona joale
37,it that this truth and justice which is simply in people who create art and i think that s a huge part of why we re going to win this war,ke 'nete ena le toka e teng ho batho ba etsang bonono' me ke nahana hore ke karolo e kholo ea hore na hobaneng re tlo hlola ntoeng ena
38,i honestly do not understand the culture in right now play the campaign finish it have separation anxiety roam the open world for a bit play the version move on i would take new content in a sequel over more detail in a,ka 'nete ha ke utloisise moetlo hona joale o bapala letšolo lena le qeta ho arohana le maemo a bulehileng hore ke tla kenya litaba tse ncha ka botlalo ho a
39,to lead s c forward by being one of the first to join matchboard see how they are our technology to build vibrant and that strengthen the city is economy culture and sense of community,ho etella pele ho ba e mong oa ba pele ba ho ba setho sa morao bona hore na ba theknoloji ea rona ea papali le ho matlafatsa motse ke setso sa moruo joang le kutloisiso ea moruo
40,unreal culture reporter fake culture war for amber via what a disgrace is,setsi sa bonolo ea mefuta ea fake ea bohata-morao ea amber ka amb ka hore na ho soabisa ke eng
41,oh no brought back the i felt uncomfortable in class once and that was a cancel culture lady the were just too good,oh no ho khutlisitse ke ile ka ikutloa ke sa phutholoha ka tlelaseng hang-hang mme seo se ne se le mofumahali oa setso sa ho hlakola
42,if you support violence against in the womb how can anyone respect your opinion about violence against in a mentality that life in all and is the right direction for the culture of life,haeba u tšehetsa pefo ka popelong eo motho a ka hlomphang maikutlo a hau ka pefo e khahlanong le kelello eo bophelo bohle le eona ke tataiso e nepahetseng bakeng sa setso sa bophelo
43,often considered the initial step in the design thinking process empathy and align with one another and promote deep connection and understanding,hangata e nkuoa e le mohato oa pele o nahanang ho sebetsa kutlo le ho tsamaisana le ho khothaletsa khokahano e tebileng le kutloisiso
44,agreed the role to place geography as a part of and impetus to culture is often under for instance,lumellana le sebaka sa ho beha geo
45,only one death scene was nominated by two different people,ketsahalo e le 'ngoe ea lefu e khethiloe ke batho ba babeli ba fapaneng
46,sans survey a culture to significantly improve your organization s security posture via,sans patlisiso ho ntlafatsa haholo ho ntlafatsa haholo tsa mokhatlo oa hau oa ts'ireletso ka
47,are incompatible with culture not a statement but a fact,ha li lumellane le moetlo eseng polelo empa 'nete
48,your culture is saying men are better than you can t even see the truth about what you are saying,setso sa hau se re banna ba molemo ho feta kamoo u ka khonang le ho bona 'nete ka seo u se buang
49,collaboration create a culture of collaboration by a technology stack that cloud based that can be at any time from any location and are rich with,tšebelisano 'moho li theola ho tšebelisano' moho ea tetlafatso ea leruruti leruo leruo le nang le nako efe kapa efe e tsoang sebakeng se seng le se nang le
50,top tier remix the block captain b dot ave real via just take some time again to listen share and appreciate this good music from the culture,top tier remix remix
51,no one the reason he left one church for another whether it was dispute heresy decision to merge regardless i wait while you provide me with justification of starting a church because you have a pop culture,ha ho na motho ea tlohileng kereke e le 'ngoe bakeng sa e mong hore na e ne e le nyonyehang ho kopanya ke ho qala kereke hobane u na le setso sa pop
52,the only thing than actual people who identify as gay is the military it is why we call everything gay in the military even getting pussy was gay it is our culture our military industrial complex soaked in the fresh blood of a drone strike on a wedding culture,ntho feela e sa tšoaneloang ke basodoma ke hore na ke ka lebaka leo re leng sesole sa rona se rarahaneng sa sesole sa drone se ne se le setso sa lenyalo
53,_culture if anyone goblin is better you need help is clearly million times better than,_culture haeba mang kapa mang ea e-ea hantle o hloka thuso ka ho hlaka makhetlo a fetang a fetang
54,and your up cancel culture is also dragging my our girl was proven innocent and that accuser was not even from the same school and made up a school name i know which fandom is blow this up too,le setso sa hau sa ho hlakola le sona se boetse se hula ngoanana oa ka ea se nang molato mme moqosi eo e ne e se ea sekolong se le seng mme a etsa lebitso la sekolo leo
55,it is very telling though your jest i am always on about how the do not have any culture or any longer and every single one of them 'wot about morris dancing then which rather my,ho bolela esale pele hore ke ratanese
